model,dataset_idx,label,clean_pred,clean_margin,clean_true_prob,class_ord,split_seed,split,split_class_ord,image_ord
bbb_resnet50,3,0,0,8.733996391296387,0.9995637536048889,0,1001,final_test,81,0
bbb_resnet50,10,0,0,12.239046096801758,0.9999771118164062,1,1001,layer_validation,43,1
bbb_resnet50,21,0,0,9.041177749633789,0.9998444318771362,2,1001,final_test,77,2
bbb_resnet50,27,0,0,10.920157432556152,0.9999638795852661,3,1001,final_test,64,3
bbb_resnet50,44,0,0,11.396299362182617,0.9999557733535767,4,1001,final_test,67,4
bbb_resnet50,74,0,0,8.644979476928711,0.9995729327201843,5,1001,basis_fit,6,5
bbb_resnet50,90,0,0,10.379658699035645,0.999924898147583,6,1001,final_test,73,6
bbb_resnet50,97,0,0,9.342317581176758,0.9998853206634521,7,1001,basis_fit,39,7
bbb_resnet50,98,0,0,10.88544750213623,0.9999481439590454,8,1001,layer_validation,41,8
bbb_resnet50,111,0,0,10.738340377807617,0.9999523162841797,9,1001,basis_fit,34,9
bbb_resnet50,116,0,0,10.494097709655762,0.9999629259109497,10,1001,layer_validation,50,10
bbb_resnet50,153,0,0,12.813822746276855,0.9999873638153076,11,1001,final_test,71,11
bbb_resnet50,154,0,0,10.572054862976074,0.9999305009841919,12,1001,basis_fit,14,12
bbb_resnet50,169,0,0,9.010834693908691,0.9997935891151428,13,1001,basis_fit,37,13
bbb_resnet50,179,0,0,11.777373313903809,0.9999833106994629,14,1001,final_test,94,14
bbb_resnet50,180,0,0,10.362844467163086,0.9999172687530518,15,1001,final_test,87,15
bbb_resnet50,189,0,0,7.404428005218506,0.9991881251335144,16,1001,layer_validation,56,16
bbb_resnet50,192,0,0,4.077749252319336,0.9825209975242615,17,1001,final_test,92,17
bbb_resnet50,206,0,0,11.399332046508789,0.9999585151672363,18,1001,final_test,95,18
bbb_resnet50,215,0,0,9.912483215332031,0.9998942613601685,19,1001,layer_validation,53,19
bbb_resnet50,235,0,0,12.217924118041992,0.9999738931655884,20,1001,basis_fit,29,20
bbb_resnet50,237,0,0,3.895052909851074,0.9793581366539001,21,1001,basis_fit,36,21
bbb_resnet50,244,0,0,11.84167766571045,0.9999748468399048,22,1001,basis_fit,13,22
bbb_resnet50,255,0,0,9.1221923828125,0.9998243451118469,23,1001,basis_fit,27,23
bbb_resnet50,257,0,0,11.716045379638672,0.9999775886535645,24,1001,layer_validation,42,24
bbb_resnet50,258,0,0,3.3258752822875977,0.9651529788970947,25,1001,basis_fit,26,25
bbb_resnet50,269,0,0,10.346244812011719,0.9999395608901978,26,1001,basis_fit,32,26
bbb_resnet50,276,0,0,9.915084838867188,0.9999382495880127,27,1001,final_test,76,27
bbb_resnet50,281,0,0,1.533444881439209,0.8194898366928101,28,1001,basis_fit,33,28
bbb_resnet50,284,0,0,9.330290794372559,0.9998189806938171,29,1001,basis_fit,15,29
